Year,Company,Category,Market Capin B USD,Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,Number of Employees,Inflation Ratein US
2009,MSFT,IT,270.64,58437.0,46282.0,14569.0,1.62,22925.0,39558.0,19037.0,-15770.0,-7463.0,1.8229,0.1453,36.8295,18.7051,33.6435,24.9311,1.7695,57.5941,90000,-0.3555
2022,GOOG,IT,1144.35,282836.0,156633.0,59972.0,4.56,90770.0,256144.0,91495.0,-20298.0,-69757.0,2.378,0.0574,23.4134,16.4188,22.1426,21.2038,-0.3613,26.6424,190234,8.0028
2021,GOOG,IT,1910.26,257637.0,146698.0,76033.0,5.61,91155.0,251635.0,91652.0,-35523.0,-61362.0,2.9281,0.0589,30.2156,21.1633,28.5354,29.5117,1.7123,33.4561,156500,4.6979
2020,GOOG,IT,1179.4,182527.0,97795.0,40269.0,2.93,54921.0,222544.0,65124.0,-32773.0,-24408.0,3.0668,0.0626,18.0949,12.5992,17.0288,22.0619,0.843,20.1422,135301,1.2336
2019,GOOG,IT,917.82,161857.0,89961.0,34343.0,2.458,46012.0,201442.0,54520.0,-29491.0,-23209.0,3.3741,0.0226,17.0486,12.4472,16.6717,21.2181,0.5566,19.2033,118899,1.8122
2018,GOOG,IT,719.63,136819.0,77270.0,30736.0,2.185,36559.0,177628.0,47971.0,-28504.0,-13179.0,3.919,0.0226,17.3036,13.2032,16.9214,22.4647,-0.0705,19.5124,98771,2.4426
2017,GOOG,IT,726.47,110855.0,65272.0,12662.0,0.9,33093.0,152502.0,37091.0,-31401.0,-8298.0,5.1403,0.026,8.3028,6.4178,8.0922,11.4221,-0.151,9.5158,80110,2.1301
2016,GOOG,IT,530.84,90272.0,55134.0,19478.0,1.3925,29860.0,139036.0,36036.0,-31165.0,-8332.0,6.2908,0.0283,14.0093,11.6289,13.6237,21.577,0.6249,16.3323,72053,1.2616
2015,GOOG,IT,521.67,74989.0,46825.0,15826.0,1.142,24423.0,120331.0,26572.0,-23711.0,-4225.0,4.6667,0.0434,13.5859,11.0863,13.3643,21.1044,0.3054,16.2481,61814,0.1186
2014,GOOG,IT,354.75,66001.0,40310.0,14136.0,1.0285,21475.0,103860.0,23024.0,-21055.0,-2087.0,4.6878,0.0504,13.1138,10.5429,12.7185,21.4179,0.0463,16.2814,53600,1.6222
2013,GOOG,IT,371.53,55519.0,33526.0,12733.0,0.9395,19342.0,87309.0,18659.0,-13679.0,-857.0,4.5817,0.0601,15.0729,11.8644,14.6965,22.9345,-0.2373,18.8671,47756,1.4648
2012,GOOG,IT,230.54,46039.0,28863.0,10737.0,0.808,16796.0,71715.0,16619.0,-13056.0,1229.0,4.2166,0.0772,16.1096,12.3169,15.4652,23.3215,0.1539,21.512,53861,2.0693
2011,GOOG,IT,207.65,37905.0,24717.0,9737.0,0.744,13593.0,58145.0,14565.0,-19041.0,807.0,5.9192,0.0723,16.7461,13.4167,15.9281,25.6879,0.3039,19.7822,32467,3.1568
